Date,Open,High,Low,Close,Volume,Adj Close
2013-09-30,51.02,51.62,50.75,51.25,2650000,51.25
2013-09-27,51.84,52.10,51.40,51.63,2110100,51.63
2013-09-26,51.96,52.12,51.46,52.09,2680300,51.97
2013-09-25,51.59,52.13,51.44,51.83,2865100,51.71
2013-09-24,51.61,51.92,51.20,51.60,2203800,51.48
2013-09-23,51.91,52.24,51.38,51.67,2716900,51.55
2013-09-20,51.03,52.39,50.98,52.15,10691900,52.03
2013-09-19,52.92,53.47,50.75,50.98,18146400,50.86
2013-09-18,48.77,49.35,48.29,49.32,2044200,49.21
2013-09-17,48.73,49.32,48.62,48.87,1578400,48.76
2013-09-16,49.06,49.18,48.58,48.74,1859900,48.63
2013-09-13,48.60,48.62,48.23,48.46,2141100,48.35
2013-09-12,48.90,48.94,48.49,48.62,1468500,48.51
2013-09-11,48.60,49.02,48.22,48.96,1783400,48.85
2013-09-10,48.04,48.67,48.04,48.55,1821300,48.44
2013-09-09,47.59,48.05,47.29,47.95,1668900,47.84
2013-09-06,47.71,47.79,47.13,47.43,1332900,47.32
2013-09-05,47.82,48.09,47.58,47.68,1313200,47.57
2013-09-04,46.93,47.96,46.74,47.87,2522000,47.76
2013-09-03,47.04,47.51,46.62,46.93,1565600,46.82
2013-08-30,46.89,46.98,46.37,46.64,1358600,46.53
2013-08-29,46.63,47.03,46.42,46.80,1900700,46.69
2013-08-28,46.88,46.97,46.51,46.74,1590400,46.63
2013-08-27,47.08,47.39,46.80,46.97,2133200,46.86
2013-08-26,47.64,48.20,47.39,47.60,2012200,47.49
2013-08-23,47.96,48.00,47.54,47.68,1701000,47.57
2013-08-22,46.89,48.33,46.80,47.97,3148000,47.86
2013-08-21,46.93,47.24,46.64,46.89,1949100,46.78
2013-08-20,46.43,47.27,46.17,47.03,2294300,46.92
2013-08-19,46.63,46.94,46.42,46.44,1727600,46.33
2013-08-16,46.81,47.22,46.52,46.79,3624700,46.68
2013-08-15,47.59,48.17,46.85,46.96,6708300,46.85
2013-08-14,46.77,47.00,46.37,46.51,1987500,46.40
2013-08-13,46.45,46.98,46.24,46.92,2078200,46.81
2013-08-12,45.89,46.51,45.72,46.45,1247200,46.34
2013-08-09,45.85,46.46,45.81,46.22,1958400,46.11
2013-08-08,46.50,46.55,45.64,45.85,1702400,45.74
2013-08-07,45.88,46.46,45.62,46.28,1702100,46.17
2013-08-06,45.93,46.22,45.61,46.08,2280900,45.97
2013-08-05,46.26,46.40,45.80,45.94,1875400,45.83
2013-08-02,46.06,46.51,45.99,46.38,2399200,46.27
2013-08-01,45.51,46.20,45.32,46.04,2737500,45.93
2013-07-31,45.04,45.30,44.66,44.73,2807400,44.63
2013-07-30,45.55,45.60,44.82,44.85,2791900,44.75
2013-07-29,45.59,45.70,44.98,45.34,1962100,45.24
2013-07-26,46.31,46.56,45.43,45.60,3692300,45.49
2013-07-25,46.62,46.90,46.39,46.66,1420300,46.55
2013-07-24,46.67,46.81,46.49,46.76,1831500,46.65
2013-07-23,46.31,46.84,46.31,46.47,2932200,46.36
2013-07-22,46.23,46.85,46.10,46.80,1834800,46.69
2013-07-19,45.83,46.28,45.69,46.20,1179400,46.09
2013-07-18,45.66,46.05,45.55,45.90,1998200,45.79
2013-07-17,45.95,46.10,45.57,45.61,1195500,45.50
