Date,Open,High,Low,Close,Volume,Adj Close
2013-09-30,117.35,117.89,116.37,117.50,4032900,117.50
2013-09-27,118.51,119.17,117.79,118.74,2848900,118.74
2013-09-26,118.71,119.50,118.51,119.38,2820400,119.38
2013-09-25,119.32,119.61,118.16,118.51,3566600,118.51
2013-09-24,117.19,119.89,116.80,119.00,4955900,119.00
2013-09-23,117.15,118.37,115.80,117.51,5450200,117.51
2013-09-20,119.15,119.22,116.63,116.63,8726600,116.63
2013-09-19,119.22,120.38,118.81,119.04,5742700,119.04
2013-09-18,117.28,119.52,116.55,118.40,6330600,118.40
2013-09-17,115.78,117.48,115.59,117.11,5308300,117.11
2013-09-16,113.73,115.89,113.26,115.67,7711200,115.67
2013-09-13,109.93,111.33,109.56,111.33,3503400,111.33
2013-09-12,109.19,110.22,109.14,109.80,4766800,109.80
2013-09-11,108.25,109.23,107.80,109.23,3313700,109.23
2013-09-10,107.64,108.45,107.40,108.17,3848000,108.17
2013-09-09,106.58,107.38,106.56,107.19,2907600,107.19
2013-09-06,107.00,107.38,105.11,106.07,3265200,106.07
2013-09-05,106.16,106.98,105.67,106.65,2590500,106.65
2013-09-04,105.05,107.12,104.62,106.37,3837500,106.37
2013-09-03,105.13,105.83,104.66,105.01,3659800,105.01
2013-08-30,104.92,104.96,103.60,103.92,2723800,103.92
2013-08-29,103.28,105.44,103.00,104.93,3095400,104.93
2013-08-28,103.10,103.82,102.57,103.27,2816300,103.27
2013-08-27,104.40,105.14,103.06,103.21,4376900,103.21
2013-08-26,105.75,106.52,105.21,105.53,2480400,105.53
2013-08-23,105.50,105.50,104.80,105.48,3016100,105.48
2013-08-22,103.88,105.50,103.88,105.14,2857800,105.14
2013-08-21,104.47,104.76,103.60,103.91,3645600,103.91
2013-08-20,104.69,105.08,104.55,104.63,3448900,104.63
2013-08-19,103.00,105.20,102.88,104.72,3512200,104.72
2013-08-16,102.82,103.94,102.70,103.47,3469100,103.47
2013-08-15,103.19,103.29,101.77,102.73,4359400,102.73
2013-08-14,106.16,106.16,104.07,104.16,4481100,104.16
2013-08-13,104.31,106.55,104.27,106.23,3578300,106.23
2013-08-12,104.86,105.07,104.05,104.24,3830800,104.24
2013-08-09,105.37,106.15,104.88,105.33,3326500,105.33
2013-08-08,106.68,107.24,105.83,105.84,3741400,105.84
2013-08-07,106.21,106.68,105.53,106.42,3158600,106.42
2013-08-06,107.35,107.71,106.62,107.04,5199900,106.55
2013-08-05,107.14,107.80,107.14,107.50,3559200,107.01
2013-08-02,106.00,107.95,106.00,107.90,4226200,107.41
2013-08-01,105.99,107.00,105.78,106.70,4910800,106.22
2013-07-31,105.92,106.28,104.99,105.10,4487800,104.62
2013-07-30,104.94,106.01,104.80,105.73,5022700,105.25
2013-07-29,103.52,105.12,103.50,104.81,4041800,104.34
2013-07-26,106.22,106.22,105.31,105.60,4216100,105.12
2013-07-25,106.36,107.12,105.85,106.70,5267100,106.22
2013-07-24,109.24,109.49,106.26,106.95,7723500,106.47
2013-07-23,107.18,107.98,106.34,107.79,5081600,107.30
2013-07-22,107.27,107.32,106.45,106.86,4168800,106.38
2013-07-19,107.13,107.13,105.61,106.96,5992000,106.48
2013-07-18,104.96,107.98,104.80,107.63,8046400,107.14
2013-07-17,104.45,105.43,104.42,104.79,3931800,104.32
2013-07-16,105.69,105.80,103.78,104.23,5839100,103.76
2013-07-15,103.83,105.87,103.10,105.66,13169900,105.18
2013-07-12,106.86,108.15,98.99,101.87,44391800,101.41
2013-07-11,106.43,107.46,106.29,106.88,4529800,106.40
2013-07-10,104.50,105.60,104.41,105.50,3872700,105.02
