Date,Open,High,Low,Close,Volume,Adj Close
2013-09-30,13.69,13.93,13.60,13.80,104439900,13.80
2013-09-27,13.99,14.03,13.88,13.90,79156000,13.90
2013-09-26,14.19,14.22,13.98,14.08,89352900,14.08
2013-09-25,14.12,14.24,14.03,14.14,86546100,14.14
2013-09-24,14.18,14.25,14.01,14.09,96912800,14.09
2013-09-23,14.31,14.32,14.09,14.14,127283100,14.14
2013-09-20,14.65,14.66,14.44,14.44,145174800,14.44
2013-09-19,14.80,14.83,14.58,14.61,79710700,14.61
2013-09-18,14.53,14.82,14.49,14.71,127092600,14.71
2013-09-17,14.53,14.62,14.40,14.55,73686100,14.55
2013-09-16,14.61,14.68,14.53,14.53,65276500,14.53
2013-09-13,14.46,14.55,14.45,14.49,56713000,14.49
2013-09-12,14.65,14.68,14.46,14.48,63242900,14.48
2013-09-11,14.56,14.68,14.52,14.65,81098900,14.65
2013-09-10,14.52,14.69,14.52,14.61,93180300,14.61
2013-09-09,14.41,14.49,14.37,14.48,53447300,14.48
2013-09-06,14.47,14.50,14.27,14.36,75513100,14.36
2013-09-05,14.41,14.55,14.36,14.37,71229200,14.37
2013-09-04,14.21,14.40,14.21,14.32,71132500,14.32
2013-09-03,14.30,14.38,14.18,14.25,74628700,14.24
2013-08-30,14.23,14.25,14.07,14.12,73233400,14.11
2013-08-29,14.14,14.30,14.12,14.17,76691500,14.16
2013-08-28,14.07,14.25,13.99,14.12,96473600,14.11
2013-08-27,14.26,14.41,14.10,14.11,122534200,14.10
2013-08-26,14.53,14.70,14.49,14.49,68938900,14.48
2013-08-23,14.59,14.69,14.51,14.57,67699200,14.56
2013-08-22,14.47,14.60,14.40,14.57,76348300,14.56
2013-08-21,14.26,14.48,14.20,14.34,91680600,14.33
2013-08-20,14.18,14.38,13.98,14.29,114332500,14.28
2013-08-19,14.37,14.38,14.13,14.15,98384600,14.14
2013-08-16,14.29,14.47,14.21,14.42,104959000,14.41
2013-08-15,14.46,14.47,14.31,14.32,99238900,14.31
2013-08-14,14.55,14.75,14.54,14.60,78553700,14.59
2013-08-13,14.47,14.62,14.33,14.51,75777900,14.50
2013-08-12,14.36,14.47,14.32,14.41,60867500,14.40
2013-08-09,14.56,14.61,14.40,14.45,72897900,14.44
2013-08-08,14.68,14.70,14.44,14.61,88544100,14.60
2013-08-07,14.43,14.57,14.25,14.53,128693600,14.52
2013-08-06,14.74,14.76,14.63,14.64,84249800,14.63
2013-08-05,14.77,14.84,14.70,14.80,61711900,14.79
2013-08-02,14.88,14.91,14.78,14.84,83367400,14.83
2013-08-01,14.85,14.97,14.82,14.95,108554200,14.94
2013-07-31,14.58,14.85,14.57,14.60,128182500,14.59
2013-07-30,14.58,14.63,14.46,14.52,71675200,14.51
2013-07-29,14.65,14.70,14.45,14.52,88616700,14.51
2013-07-26,14.70,14.76,14.62,14.73,73777800,14.72
2013-07-25,14.62,14.85,14.54,14.83,89243300,14.82
2013-07-24,15.00,15.00,14.68,14.71,117771100,14.70
2013-07-23,14.98,15.03,14.86,14.94,113736000,14.93
2013-07-22,14.74,14.99,14.65,14.92,112416800,14.91
2013-07-19,14.76,14.76,14.60,14.75,136196600,14.74
2013-07-18,14.40,14.85,14.40,14.76,221796400,14.75
2013-07-17,14.06,14.44,14.04,14.31,249674500,14.30
2013-07-16,13.93,14.02,13.77,13.92,146041900,13.91
2013-07-15,13.93,13.94,13.76,13.88,90765200,13.87
2013-07-12,13.54,13.80,13.47,13.78,123958400,13.77
2013-07-11,13.54,13.58,13.33,13.51,93756500,13.50
2013-07-10,13.51,13.53,13.31,13.37,104353400,13.36
2013-07-09,13.37,13.53,13.25,13.53,106067300,13.52
2013-07-08,13.11,13.37,13.08,13.28,107441200,13.27
2013-07-05,12.99,13.08,12.91,13.06,80758500,13.05
2013-07-03,12.82,12.84,12.73,12.83,37971700,12.82
2013-07-02,12.95,13.10,12.80,12.90,83708600,12.89
2013-07-01,12.95,13.10,12.92,12.93,83146300,12.92
2013-06-28,12.97,13.00,12.84,12.86,90297100,12.85
2013-06-27,12.84,13.03,12.78,13.01,124616300,13.00
2013-06-26,12.84,12.85,12.68,12.76,105282000,12.75
2013-06-25,12.61,12.77,12.43,12.67,132844500,12.66
2013-06-24,12.40,12.45,12.13,12.30,159762500,12.29
2013-06-21,12.99,13.00,12.39,12.69,196004700,12.68
2013-06-20,13.08,13.14,12.80,12.89,185741100,12.88
2013-06-19,13.29,13.40,13.17,13.19,103850000,13.18
2013-06-18,13.22,13.34,13.20,13.27,67257600,13.26
2013-06-17,13.17,13.26,13.13,13.21,115441500,13.20
