Date,Open,High,Low,Close,Volume,Adj Close
2013-09-30,150.65,155.80,148.26,155.18,3116000,155.18
2013-09-27,153.73,154.80,152.10,153.84,1861300,153.84
2013-09-26,151.51,154.35,150.28,154.28,2805500,154.28
2013-09-25,151.70,153.00,149.63,150.68,2777500,150.68
2013-09-24,149.12,154.72,147.03,150.13,5266400,150.13
2013-09-23,145.61,149.95,145.22,149.26,3128000,149.26
2013-09-20,148.02,149.14,145.56,146.25,3223000,146.25
2013-09-19,146.33,149.74,146.06,147.70,3433200,147.70
2013-09-18,143.81,145.95,143.20,145.70,2722700,145.70
2013-09-17,142.21,143.93,141.32,143.81,2130900,143.81
2013-09-16,143.85,147.38,141.29,142.59,3194400,142.59
2013-09-13,145.48,146.01,141.28,142.64,2923000,142.64
2013-09-12,147.37,147.60,143.60,144.50,2922400,144.50
2013-09-11,139.80,148.25,139.80,147.31,6915300,147.31
2013-09-10,137.82,140.90,137.51,140.60,4432000,140.60
2013-09-09,137.46,137.73,134.40,136.58,2790100,136.58
2013-09-06,133.28,136.69,132.62,135.67,5224100,135.67
2013-09-05,134.82,134.95,132.31,132.99,3481400,132.99
2013-09-04,137.20,137.20,133.70,134.49,3037900,134.49
2013-09-03,137.89,139.42,135.83,136.17,3164100,136.17
2013-08-30,139.70,140.09,135.10,135.53,2607500,135.53
2013-08-29,139.00,140.69,138.53,139.76,2417800,139.76
2013-08-28,134.84,139.59,133.65,138.98,2968100,138.98
2013-08-27,137.35,138.00,134.70,135.12,2713900,135.12
2013-08-26,139.40,140.93,138.13,139.02,3097600,139.02
2013-08-23,140.58,140.58,137.65,138.64,2104600,138.64
2013-08-22,137.54,142.35,137.54,139.54,2816700,139.54
2013-08-21,134.56,136.62,134.08,135.99,2373600,135.99
2013-08-20,134.75,136.50,134.33,134.96,1950600,134.96
2013-08-19,134.48,137.79,133.24,135.01,2294600,135.01
2013-08-16,135.17,135.79,132.69,134.64,2908700,134.64
2013-08-15,137.00,138.43,134.32,134.92,2846600,134.92
2013-08-14,140.55,143.12,138.11,138.51,3496600,138.51
2013-08-13,137.56,142.50,136.76,141.53,4750500,141.53
2013-08-12,137.07,139.39,135.66,136.73,3235100,136.73
2013-08-09,137.78,139.50,137.11,138.19,2969500,138.19
2013-08-08,136.79,136.95,134.39,135.74,2275500,135.74
2013-08-07,134.49,135.75,132.64,135.33,2394400,135.33
2013-08-06,133.07,135.87,132.96,134.56,3520800,134.56
2013-08-05,138.75,139.18,132.18,133.89,5522900,133.89
2013-08-02,134.50,139.85,133.84,139.70,6860200,139.70
2013-08-01,133.65,135.00,132.18,134.93,4080300,134.93
2013-07-31,131.00,133.35,130.41,132.31,4320000,132.31
