Date,Open,High,Low,Close,Volume,Adj Close
2013-09-30,48.27,48.86,47.83,48.51,23789300,48.51
2013-09-27,48.76,49.20,48.69,48.89,20243100,48.89
2013-09-26,49.27,49.49,48.50,48.93,23333200,48.93
2013-09-25,49.04,49.54,48.67,49.26,26930400,49.26
2013-09-24,49.43,49.48,48.93,48.96,26330900,48.96
2013-09-23,49.95,50.17,49.29,49.57,34560100,49.57
2013-09-20,52.03,52.10,51.12,51.21,28157600,51.21
2013-09-19,52.75,52.88,51.90,51.95,25368500,51.95
2013-09-18,51.02,52.66,50.98,52.21,31901700,52.21
2013-09-17,51.15,51.28,50.87,51.20,15424500,51.20
2013-09-16,51.19,51.45,50.74,51.00,19369100,51.00
2013-09-13,50.29,50.62,50.22,50.49,12571800,50.49
2013-09-12,50.66,50.76,49.97,50.26,21341600,50.26
2013-09-11,51.04,51.12,50.26,50.73,22251600,50.73
2013-09-10,50.74,51.53,50.54,51.09,24843900,51.09
2013-09-09,49.49,50.12,49.36,50.09,22388100,50.09
2013-09-06,50.18,50.18,48.89,49.22,24627200,49.22
2013-09-05,49.85,50.20,49.62,49.86,17765800,49.86
2013-09-04,49.31,49.95,49.12,49.60,18949600,49.60
2013-09-03,49.37,49.84,48.36,49.37,28906900,49.37
2013-08-30,48.71,48.71,47.80,48.33,24902000,48.33
2013-08-29,48.40,48.90,48.27,48.47,17293800,48.47
2013-08-28,48.05,48.93,47.64,48.31,29616600,48.31
2013-08-27,48.84,49.34,48.16,48.24,29854200,48.24
2013-08-26,49.80,50.34,49.60,49.60,16604100,49.60
2013-08-23,50.11,50.33,49.69,49.83,15302800,49.83
2013-08-22,49.66,50.27,49.28,49.91,22411800,49.91
2013-08-21,49.80,49.94,49.03,49.16,30669600,49.16
2013-08-20,49.27,50.25,48.77,49.92,29313400,49.92
2013-08-19,50.06,50.13,49.30,49.33,22958800,49.33
2013-08-16,50.69,51.08,50.22,50.35,23497000,50.35
2013-08-15,51.02,51.10,50.33,50.86,26231400,50.86
2013-08-14,51.95,52.44,51.58,51.59,17240200,51.59
2013-08-13,51.04,52.15,50.74,51.77,23814200,51.77
2013-08-12,51.00,51.12,50.65,50.90,17413200,50.90
2013-08-09,51.72,52.00,51.24,51.32,15613000,51.32
2013-08-08,52.09,52.12,51.07,51.78,18623800,51.78
2013-08-07,51.01,51.64,50.80,51.50,18613400,51.50
2013-08-06,52.59,52.69,51.40,51.48,23692600,51.48
2013-08-05,52.93,53.11,52.75,52.87,10699700,52.87
2013-08-02,52.84,53.05,52.50,53.00,15440000,53.00
2013-08-01,52.84,53.20,52.74,52.86,20583300,52.86
2013-07-31,51.71,52.96,51.71,52.14,27860500,52.13
2013-07-30,51.82,52.00,51.49,51.78,16099700,51.77
2013-07-29,51.90,51.95,51.30,51.64,16327800,51.63
2013-07-26,52.42,52.46,51.82,52.21,16248100,52.20
2013-07-25,51.98,52.70,51.40,52.66,23057000,52.65
2013-07-24,52.98,53.17,52.11,52.19,22674500,52.18
2013-07-23,53.17,53.30,52.66,52.88,19492100,52.87
2013-07-22,52.38,53.00,52.16,53.00,20047200,52.99
2013-07-19,52.63,52.65,52.15,52.35,21762600,52.34
2013-07-18,52.16,52.70,52.05,52.69,33211400,52.68
2013-07-17,51.99,52.39,51.78,51.79,34814200,51.78
2013-07-16,52.00,52.43,51.51,51.83,33099000,51.82
2013-07-15,52.04,52.16,51.01,51.81,57329500,51.80
2013-07-12,50.15,50.84,49.93,50.81,26672500,50.80
2013-07-11,50.62,50.64,49.55,50.04,31097900,50.03
2013-07-10,49.91,50.24,49.52,49.63,23768300,49.62
2013-07-09,50.00,50.25,49.40,50.21,29512900,50.20
2013-07-08,48.92,49.77,48.80,49.52,26617000,49.51
2013-07-05,48.25,48.58,47.77,48.53,21649800,48.52
2013-07-03,47.47,47.77,47.15,47.67,15269700,47.66
2013-07-02,48.27,49.16,47.77,48.15,26615400,48.14
2013-07-01,48.50,49.20,46.70,48.25,27234700,48.24
2013-06-28,48.12,48.39,47.67,47.97,28063600,47.96
2013-06-27,48.14,48.69,47.81,48.28,29309200,48.27
2013-06-26,47.80,47.82,47.05,47.61,30623500,47.60
2013-06-25,46.16,47.34,46.12,47.00,38838900,46.99
2013-06-24,45.77,46.03,45.06,45.44,50809800,45.43
2013-06-21,48.23,48.34,45.51,46.87,76788800,46.86
2013-06-20,48.90,49.01,47.54,47.90,48678600,47.89
2013-06-19,49.99,50.30,49.41,49.53,32511000,49.52
2013-06-18,49.52,50.25,49.49,50.01,19535800,50.00
2013-06-17,49.81,50.39,49.05,49.36,32128600,49.35
2013-06-14,50.22,50.35,49.19,49.22,27362500,49.21
2013-06-13,49.28,50.29,48.80,50.29,34191300,50.28
2013-06-12,50.33,50.45,49.16,49.44,38569300,49.43
2013-06-11,50.70,50.85,49.82,49.95,51536900,49.94
2013-06-10,52.00,52.12,51.21,51.93,22354400,51.92
2013-06-07,51.27,51.81,50.85,51.60,30885500,51.59
2013-06-06,49.86,50.86,49.63,50.83,35143600,50.82
2013-06-05,51.11,51.48,49.76,50.03,38307500,50.02
2013-06-04,51.89,52.62,51.00,51.23,27899200,51.22
2013-06-03,52.06,52.23,50.61,51.96,35191300,51.95
2013-05-31,53.27,53.44,51.99,51.99,34618000,51.98
2013-05-30,52.27,53.56,52.24,53.27,30310100,53.26
2013-05-29,51.43,52.59,51.30,52.28,30015100,52.27
2013-05-28,51.31,51.80,51.08,51.79,28201000,51.78
2013-05-24,50.08,50.54,50.00,50.52,23094900,50.51
2013-05-23,49.20,50.91,49.18,50.53,42219400,50.52
2013-05-22,51.84,52.89,50.84,51.00,44035800,50.99
2013-05-21,51.40,52.18,51.40,51.66,28171000,51.65
2013-05-20,51.46,52.10,51.25,51.60,24697300,51.59
2013-05-17,51.14,51.50,50.79,51.45,23610900,51.44
2013-05-16,51.00,51.36,50.50,50.61,25290000,50.60
2013-05-15,49.96,51.45,49.90,51.34,40824400,51.33
2013-05-14,49.05,50.20,49.02,50.09,35998300,50.08
2013-05-13,48.50,48.97,48.40,48.92,17096400,48.91
2013-05-10,48.55,48.88,48.43,48.75,18476600,48.74
2013-05-09,49.28,49.34,48.29,48.60,27058600,48.59
2013-05-08,48.05,49.46,47.87,49.29,34220900,49.28
2013-05-07,47.79,48.30,47.36,48.11,27492800,48.10
