Date,Open,High,Low,Close,Volume,Adj Close
2013-09-30,31.93,32.00,31.77,32.00,412900,32.00
2013-09-27,31.97,32.09,31.78,31.96,140300,31.96
2013-09-26,32.00,32.18,31.97,32.07,130600,32.07
2013-09-25,31.79,31.82,31.55,31.58,189200,31.58
2013-09-24,32.00,32.09,31.75,31.95,186100,31.95
2013-09-23,32.33,32.34,32.13,32.32,217800,32.32
2013-09-20,32.29,32.40,32.07,32.09,266600,32.09
2013-09-19,32.28,32.38,31.73,31.82,508500,31.82
2013-09-18,32.33,33.06,32.14,32.98,380800,32.98
2013-09-17,32.46,32.74,32.46,32.71,472200,32.71
2013-09-16,32.39,32.50,32.29,32.41,391300,32.41
2013-09-13,32.19,32.19,31.88,32.05,242100,32.05
2013-09-12,31.87,31.95,31.71,31.80,1237600,31.80
2013-09-11,31.41,31.66,31.32,31.55,399900,31.55
2013-09-10,32.02,32.09,31.91,32.05,541100,32.05
2013-09-09,31.69,31.79,31.53,31.77,235400,31.77
2013-09-06,31.30,31.38,31.10,31.19,363700,31.19
2013-09-05,31.09,31.18,30.95,31.09,325000,31.09
2013-09-04,31.45,31.66,31.34,31.59,536200,31.59
2013-09-03,31.42,31.42,31.21,31.35,1090200,31.35
2013-08-30,30.03,30.05,29.82,29.90,252300,29.90
2013-08-29,30.11,30.32,30.07,30.13,196700,30.13
2013-08-28,30.33,30.60,30.24,30.40,384400,30.40
2013-08-27,30.36,30.52,30.35,30.48,491100,30.48
2013-08-26,30.54,30.68,30.41,30.45,337200,30.45
2013-08-23,30.61,30.74,30.57,30.60,211100,30.60
2013-08-22,30.69,30.73,30.52,30.54,277100,30.54
2013-08-21,30.90,30.90,30.57,30.66,170300,30.66
2013-08-20,30.89,31.06,30.84,30.94,362800,30.94
2013-08-19,31.30,31.48,31.07,31.11,154700,31.11
2013-08-16,31.49,31.58,31.36,31.38,128900,31.38
2013-08-15,31.65,31.79,31.53,31.67,152900,31.67
2013-08-14,31.91,31.96,31.69,31.89,352800,31.89
2013-08-13,32.54,32.63,32.22,32.58,267600,32.58
2013-08-12,32.27,32.40,32.25,32.34,198600,32.34
2013-08-09,32.01,32.01,31.64,31.70,343700,31.70
2013-08-08,32.50,32.55,32.16,32.29,318600,32.29
2013-08-07,32.38,32.50,32.06,32.17,262800,32.17
2013-08-06,32.41,32.55,32.23,32.53,601700,32.53
2013-08-05,32.07,32.25,31.95,32.17,239900,32.17
2013-08-02,31.43,31.74,31.31,31.70,251200,31.70
2013-08-01,31.57,31.64,31.32,31.44,456000,31.44
2013-07-31,30.84,31.02,30.77,30.84,423200,30.84
2013-07-30,30.82,31.04,30.71,30.77,719500,30.77
2013-07-29,31.54,31.73,31.40,31.49,577600,31.49
2013-07-26,31.87,32.57,31.61,31.85,903400,31.85
2013-07-25,32.09,32.31,31.94,32.28,1213500,32.28
2013-07-24,32.63,32.63,31.40,31.90,1546400,31.90
2013-07-23,34.32,34.60,34.32,34.53,392000,34.53
2013-07-22,33.97,34.12,33.85,34.12,197300,34.12
2013-07-19,34.04,34.23,34.00,34.18,121700,34.18
2013-07-18,34.37,34.57,34.29,34.37,165000,34.37
2013-07-17,34.43,34.54,34.17,34.26,144800,34.26
2013-07-16,34.69,34.80,34.57,34.68,193400,34.68
2013-07-15,34.14,34.23,34.04,34.14,83800,34.14
